Hindi|English|Sanskrit
'वह' जो मन के द्वारा मनन नहीं करता,|That which thinks not by the mind,|मनसा यत् न मनुते।
'वह' जिसके द्वारा मन स्वयं मनन का विषय बन जाता है,|that by which the mind is thought,|येन मनः मतं इति ब्रह्मविदः आहुः।
'उसे' ही तुम 'ब्रह्म' जानो,|know That to be the Brahman|तत् एव त्वं ब्रह्म विद्धि।
न कि इसे जिसकी मनुष्य यहां उपासना करते हैं।|and not this which men revere after here.|यत् इदं उपासते इदं न।
क्रोध एक तेज आँधी के झोंका की तरह होता है।|Anger is like the gust of a strong storm.|क्रोध: एकस्य तीव्रचण्डवातस्य प्रवाह: इव भवति।
जब आता है तो हमारे विवेक और बुद्धि को उड़ा ले जाता है।|When it comes, our conscience and intellect flies away.|यदा स आगच्छति तदा अस्माकं विवेकं बुद्धिं च उड्डायित्वा नयति।
जब आता है तो हमारे विवेक और बुद्धि को उड़ा ले जाता है।|When it comes, it takes away our conscience and intellect.|यदा स आगच्छति तदा अस्माकं विवेकं बुद्धिं च हरति।
आँधी के गुजर जाने के बाद हमें मालूम होता है हमारी क्या-क्या वस्तुएँ आँधी के साथ उड़ गई हैं।|After the storm passes, we come to know what belongings of ours have been blown away with the storm.| चण्डवातस्य व्यतीतानन्तरम् अस्माभि: ज्ञायते यत् अस्माकं कानि-कानि वस्तूनि चण्डवातेन सह उड्डीय गतानि।
Big Cat की यह प्रजाति कभी भारत में पायी जाती थी।|This species of Big Cat was once found in India.|एष वृहत्मार्जार: प्रजाति: कदाचित् भारते एव दृश्यते स्म।
यह दुनिया का सबसे तेज फर्राटा लगाने वाला जानवर है।|It is the fastest animal in the world.|एषः जगतो द्रुततमो धावक: पशुः अस्ति
चीता 128 किमी/घंटे की रफ्तार तक दौड़ सकता है।|Cheetah can run up to a speed of 128 km/hour.|चित्रक: अष्टाविंशत्याधिकशतानि किलोमीटरमीतं प्रतिघण्टापर्यन्तं धावितुं शक्नोति।
हिन्दी में चीता शब्द का अर्थ होता है अलग-अलग रंगों के धब्बों वाला या चितकबरा।|In Hindi the word Cheeta means one with different colored spots or spotted.|हिन्दीभाषायां चित्रकस्य शब्दार्थो भवति-विविधवर्णै: युक्त: चिह्नवर्णीय: उत विचित्रवर्णीय:।
चीता को खास धब्बेदार खाल की वजह से यह नाम मिला है।|Cheetah got this name because of its special spotted skin.|विशिष्टचिह्नितवर्णात् चित्रकेण एतत् नाम प्राप्तम्।
अफ्रिका और मध्य इरान तक सिमटे चीता को भारत में बसाने की तैयारी है।|There are preparations to settle the cheetah, confined to Africa and central Iran, in India.|अफ्रिकादेशे मध्य इरानदेशे च सीमितचित्रकाणां भारते निवासनाय सज्जत्वमस्ति।
